ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS,MARKET_MILES_FLOWN
AK,AK,35,160
AK,AK,34,160
AK,AK,34,160
AK,AK,25,160
AK,AK,25,160
AK,AK,25,160
AK,AK,24,160
AK,AK,24,160
AK,AK,22,160
AK,AK,20,160
AK,AK,18,160
AK,AK,18,160
AK,AK,18,160
AK,AK,17,160
AK,AK,16,160
AK,AK,16,160
AK,AK,16,160
AK,AK,16,160
AK,AK,16,160
AK,AK,14,160
AK,AK,13,160
AK,AK,13,160
AK,AK,13,160
AK,AK,66,253
AK,AK,62,253
AK,AK,61,253
AK,AK,58,253
AK,AK,58,253
AK,AK,57,253
AK,AK,57,253
AK,AK,57,253
AK,AK,56,253
AK,AK,53,253
AK,AK,53,253
AK,AK,52,253
AK,AK,52,253
AK,AK,51,253
AK,AK,47,253
AK,AK,47,253
AK,AK,46,253
AK,AK,46,253
AK,AK,46,253
AK,AK,42,253
AK,AK,30,253
AK,AK,30,253
AK,AK,27,253
AK,AK,27,253
AK,AK,26,253
AK,AK,25,253
AK,AK,25,253
AK,AK,24,253
AK,AK,24,253
AK,AK,23,253
AK,AK,22,253
AK,AK,21,253
AK,AK,21,253
AK,AK,21,253
AK,AK,19,253
AK,AK,19,253
AK,AK,19,253
AK,AK,19,253
AK,AK,18,253
AK,AK,18,253
AK,AK,18,253
AK,AK,17,253
AK,AK,16,253
AK,AK,16,253
AK,AK,16,253
AK,AK,15,253
AK,AK,15,253
AK,AK,15,253
AK,AK,14,253
AK,AK,14,253
AK,AK,14,253
AK,AK,14,253
AK,AK,14,253
AK,AK,13,253
AK,AK,13,253
AK,AK,12,253
AK,AK,12,253
AK,AK,12,253
AK,AK,12,253
AK,AK,138,261
AK,AK,136,261
AK,AK,133,261
AK,AK,133,261
AK,AK,125,261
AK,AK,120,261
AK,AK,115,261
AK,AK,113,261
AK,AK,112,261
AK,AK,112,261
AK,AK,112,261
AK,AK,112,261
AK,AK,107,261
AK,AK,98,261
AK,AK,96,261
AK,AK,95,261
AK,AK,93,261
AK,AK,93,261
AK,AK,88,261
AK,AK,77,261
AK,AK,74,261
AK,AK,73,261
AK,AK,73,261
AK,AK,71,261
AK,AK,68,261
AK,AK,64,261
AK,AK,60,261
AK,AK,54,261
AK,AK,53,261
AK,AK,51,261
AK,AK,51,261
AK,AK,49,261
AK,AK,47,261
AK,AK,45,261
AK,AK,43,261
AK,AK,42,261
AK,AK,42,261
AK,AK,42,261
AK,AK,41,261
AK,AK,40,261
AK,AK,40,261
AK,AK,39,261
AK,AK,39,261
AK,AK,37,261
AK,AK,37,261
AK,AK,37,261
AK,AK,36,261
AK,AK,36,261
AK,AK,36,261
AK,AK,35,261
AK,AK,35,261
AK,AK,34,261
AK,AK,34,261
AK,AK,34,261
AK,AK,33,261
AK,AK,33,261
AK,AK,32,261
AK,AK,32,261
AK,AK,31,261
AK,AK,31,261
AK,AK,30,261
AK,AK,30,261
AK,AK,29,261
AK,AK,28,261
AK,AK,28,261
AK,AK,28,261
AK,AK,28,261
AK,AK,26,261
AK,AK,26,261
AK,AK,26,261
AK,AK,26,261
AK,AK,26,261
AK,AK,26,261
AK,AK,26,261
AK,AK,25,261
AK,AK,25,261
AK,AK,25,261
AK,AK,25,261
AK,AK,24,261
AK,AK,24,261
AK,AK,24,261
AK,AK,24,261
AK,AK,24,261
AK,AK,23,261
AK,AK,23,261
AK,AK,23,261
AK,AK,23,261
AK,AK,22,261
AK,AK,22,261
AK,AK,22,261
AK,AK,22,261
AK,AK,22,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,21,261
AK,AK,20,261
AK,AK,20,261
AK,AK,20,261
AK,AK,20,261
AK,AK,20,261
AK,AK,20,261
AK,AK,20,261
AK,AK,20,261
AK,AK,19,261
AK,AK,19,261
AK,AK,19,261
AK,AK,19,261
AK,AK,19,261
AK,AK,18,261
AK,AK,18,261
AK,AK,18,261
AK,AK,18,261
AK,AK,18,261
AK,AK,18,261
AK,AK,18,261
AK,AK,18,261
AK,AK,18,261
AK,AK,18,261
AK,AK,18,261
AK,AK,17,261
AK,AK,17,261
AK,AK,17,261
AK,AK,17,261
AK,AK,17,261
AK,AK,17,261
AK,AK,17,261
AK,AK,17,261
AK,AK,17,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,16,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,15,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,14,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,13,261
AK,AK,12,261
AK,AK,12,261
AK,AK,12,261
AK,AK,12,261
AK,AK,12,261
AK,AK,12,261
AK,AK,18,288
AK,AK,17,288
AK,AK,16,288
AK,AK,16,288
AK,AK,14,288
AK,AK,14,288
AK,AK,33,329
AK,AK,24,329
AK,AK,24,329
AK,AK,23,329
AK,AK,22,329
AK,AK,19,329
AK,AK,17,329
AK,AK,17,329
AK,AK,16,329
AK,AK,16,329
AK,AK,13,373
AK,AK,234,399
AK,AK,234,399
AK,AK,207,399
AK,AK,207,399
AK,AK,192,399
AK,AK,192,399
AK,AK,164,399
AK,AK,164,399
AK,AK,88,399
AK,AK,88,399
AK,AK,87,399
AK,AK,85,399
AK,AK,78,399
AK,AK,77,399
AK,AK,74,399
AK,AK,70,399
AK,AK,65,399
AK,AK,64,399
AK,AK,64,399
AK,AK,62,399
AK,AK,61,399
AK,AK,59,399
AK,AK,58,399
AK,AK,55,399
AK,AK,54,399
AK,AK,53,399
AK,AK,53,399
AK,AK,53,399
AK,AK,53,399
AK,AK,52,399
AK,AK,49,399
AK,AK,49,399
AK,AK,49,399
AK,AK,49,399
AK,AK,48,399
AK,AK,48,399
AK,AK,48,399
AK,AK,47,399
AK,AK,47,399
AK,AK,46,399
AK,AK,36,399
AK,AK,36,399
AK,AK,32,399
AK,AK,32,399
AK,AK,31,399
AK,AK,25,399
AK,AK,25,399
AK,AK,25,399
AK,AK,23,399
AK,AK,22,399
AK,AK,22,399
AK,AK,20,399
AK,AK,20,399
AK,AK,20,399
AK,AK,20,399
AK,AK,19,399
AK,AK,19,399
AK,AK,19,399
AK,AK,19,399
AK,AK,18,399
AK,AK,18,399
AK,AK,17,399
AK,AK,17,399
AK,AK,17,399
AK,AK,17,399
AK,AK,17,399
AK,AK,17,399
AK,AK,17,399
AK,AK,17,399
AK,AK,17,399
AK,AK,17,399
AK,AK,17,399
AK,AK,17,399
AK,AK,16,399
AK,AK,16,399
AK,AK,16,399
AK,AK,15,399
AK,AK,15,399
AK,AK,15,399
AK,AK,15,399
AK,AK,15,399
AK,AK,15,399
AK,AK,14,399
AK,AK,14,399
AK,AK,14,399
AK,AK,14,399
AK,AK,14,399
AK,AK,14,399
AK,AK,14,399
AK,AK,14,399
AK,AK,14,399
AK,AK,14,399
AK,AK,13,399
AK,AK,13,399
AK,AK,13,399
AK,AK,13,399
AK,AK,13,399
AK,AK,13,399
AK,AK,13,399
AK,AK,13,399
AK,AK,13,399
AK,AK,13,399
AK,AK,13,399
AK,AK,12,399
AK,AK,12,399
AK,AK,111,539
AK,AK,107,539
AK,AK,102,539
AK,AK,60,539
AK,AK,56,539
AK,AK,52,539
AK,AK,49,539
AK,AK,47,539
AK,AK,44,539
AK,AK,39,539
AK,AK,37,539
AK,AK,34,539
AK,AK,33,539
AK,AK,31,539
AK,AK,31,539
AK,AK,27,539
AK,AK,22,539
AK,AK,22,539
AK,AK,20,539
AK,AK,20,539
AK,AK,19,539
AK,AK,19,539
AK,AK,19,539
AK,AK,18,539
AK,AK,18,539
AK,AK,18,539
AK,AK,17,539
AK,AK,17,539
AK,AK,17,539
AK,AK,16,539
AK,AK,15,539
AK,AK,15,539
AK,AK,14,539
AK,AK,14,539
AK,AK,14,539
AK,AK,14,539
AK,AK,13,539
AK,AK,13,539
AK,AK,96,548
AK,AK,79,548
AK,AK,77,548
AK,AK,67,548
AK,AK,62,548
AK,AK,60,548
AK,AK,49,548
AK,AK,47,548
AK,AK,45,548
AK,AK,40,548
AK,AK,37,548
AK,AK,37,548
AK,AK,34,548
AK,AK,31,548
AK,AK,30,548
AK,AK,29,548
AK,AK,26,548
AK,AK,25,548
AK,AK,24,548
AK,AK,24,548
AK,AK,23,548
AK,AK,21,548
AK,AK,21,548
AK,AK,19,548
AK,AK,19,548
AK,AK,19,548
AK,AK,18,548
AK,AK,18,548
AK,AK,17,548
AK,AK,17,548
AK,AK,16,548
AK,AK,16,548
AK,AK,15,548
AK,AK,15,548
AK,AK,14,548
AK,AK,14,548
AK,AK,13,548
AK,AK,13,548
AK,AK,13,548
AK,AK,106,571
AK,AK,104,571
AK,AK,91,571
AK,AK,81,571
AK,AK,79,571
AK,AK,79,571
AK,AK,79,571
AK,AK,76,571
AK,AK,75,571
AK,AK,71,571
AK,AK,65,571
AK,AK,63,571
AK,AK,53,571
AK,AK,48,571
AK,AK,45,571
AK,AK,45,571
AK,AK,42,571
AK,AK,40,571
AK,AK,38,571
AK,AK,35,571
AK,AK,33,571
AK,AK,31,571
AK,AK,31,571
AK,AK,29,571
AK,AK,29,571
AK,AK,27,571
AK,AK,27,571
AK,AK,26,571
AK,AK,26,571
AK,AK,26,571
AK,AK,24,571
AK,AK,24,571
AK,AK,23,571
AK,AK,22,571
AK,AK,21,571
AK,AK,20,571
AK,AK,18,571
AK,AK,17,571
AK,AK,17,571
AK,AK,17,571
AK,AK,17,571
AK,AK,16,571
AK,AK,16,571
AK,AK,16,571
AK,AK,16,571
AK,AK,16,571
AK,AK,16,571
AK,AK,15,571
AK,AK,15,571
AK,AK,15,571
AK,AK,15,571
AK,AK,15,571
AK,AK,14,571
AK,AK,14,571
AK,AK,14,571
AK,AK,14,571
AK,AK,14,571
AK,AK,14,571
AK,AK,13,571
AK,AK,13,571
AK,AK,13,571
AK,AK,13,571
AK,AK,12,571
AK,AK,12,571
AK,AK,12,571
AK,AK,12,571
AK,AK,39,592
AK,AK,30,592
AK,AK,28,592
AK,AK,22,592
AK,AK,19,592
AK,AK,19,592
AK,AK,17,592
AK,AK,17,592
AK,AK,16,592
AK,AK,16,592
AK,AK,15,592
AK,AK,14,592
AK,AK,14,592
AK,AK,229,626
AK,AK,212,626
AK,AK,210,626
AK,AK,205,626
AK,AK,53,626
AK,AK,52,626
AK,AK,47,626
AK,AK,44,626
AK,AK,44,626
AK,AK,43,626
AK,AK,41,626
AK,AK,40,626
AK,AK,39,626
AK,AK,39,626
AK,AK,38,626
AK,AK,36,626
AK,AK,36,626
AK,AK,34,626
AK,AK,32,626
AK,AK,32,626
AK,AK,30,626
AK,AK,30,626
AK,AK,30,626
AK,AK,30,626
AK,AK,27,626
AK,AK,27,626
AK,AK,26,626
AK,AK,26,626
AK,AK,25,626
AK,AK,25,626
AK,AK,22,626
AK,AK,21,626
AK,AK,20,626
AK,AK,20,626
AK,AK,18,626
AK,AK,18,626
AK,AK,17,626
AK,AK,17,626
AK,AK,17,626
AK,AK,16,626
AK,AK,16,626
AK,AK,16,626
AK,AK,16,626
AK,AK,15,626
AK,AK,15,626
AK,AK,15,626
AK,AK,15,626
AK,AK,14,626
AK,AK,14,626
AK,AK,14,626
AK,AK,14,626
AK,AK,14,626
AK,AK,13,626
AK,AK,13,626
AK,AK,13,626
AK,AK,13,626
AK,AK,12,626
AK,AK,69,725
AK,AK,63,725
AK,AK,60,725
AK,AK,54,725
AK,AK,53,725
AK,AK,49,725
AK,AK,47,725
AK,AK,46,725
AK,AK,43,725
AK,AK,42,725
AK,AK,37,725
AK,AK,37,725
AK,AK,35,725
AK,AK,35,725
AK,AK,35,725
AK,AK,31,725
AK,AK,30,725
AK,AK,27,725
AK,AK,26,725
AK,AK,26,725
AK,AK,26,725
AK,AK,24,725
AK,AK,22,725
AK,AK,22,725
AK,AK,22,725
AK,AK,22,725
AK,AK,21,725
AK,AK,21,725
AK,AK,20,725
AK,AK,20,725
AK,AK,19,725
AK,AK,19,725
AK,AK,18,725
AK,AK,18,725
AK,AK,17,725
AK,AK,17,725
AK,AK,17,725
AK,AK,17,725
AK,AK,16,725
AK,AK,16,725
AK,AK,15,725
AK,AK,15,725
AK,AK,15,725
AK,AK,14,725
AK,AK,14,725
AK,AK,14,725
AK,AK,14,725
AK,AK,14,725
AK,AK,13,725
AK,AK,13,725
AK,AK,13,725
AK,AK,13,725
AK,AK,13,725
AK,AK,13,725
AK,AK,12,725
AK,AK,12,725
AK,AK,31,775
AK,AK,25,775
AK,AK,24,775
AK,AK,21,775
AK,AK,21,775
AK,AK,20,775
AK,AK,19,775
AK,AK,17,775
AK,AK,17,775
AK,AK,15,775
AK,AK,15,775
AK,AK,14,775
AK,AK,14,775
AK,AK,13,775
AK,AK,13,775
AK,AK,13,775
AK,AK,12,775
AK,AK,13,832
AK,AK,26,1192
AK,AK,26,1192
AK,AK,14,1192
AK,AK,14,1192
AK,WA,14,1293
AK,WA,37,1371
AK,WA,27,1371
AK,WA,19,1371
AK,WA,19,1371
AK,WA,14,1371
AK,WA,14,1371
AK,WA,181,1448
AK,WA,153,1448
AK,WA,153,1448
AK,WA,153,1448
AK,WA,132,1448
AK,WA,120,1448
AK,WA,113,1448
AK,WA,104,1448
AK,WA,101,1448
AK,WA,98,1448
AK,WA,93,1448
AK,WA,90,1448
AK,WA,89,1448
AK,WA,84,1448
AK,WA,82,1448
AK,WA,79,1448
AK,WA,73,1448
AK,WA,70,1448
AK,WA,70,1448
AK,WA,69,1448
AK,WA,67,1448
AK,WA,64,1448
AK,WA,64,1448
AK,WA,60,1448
AK,WA,58,1448
AK,WA,58,1448
AK,WA,58,1448
AK,WA,56,1448
AK,WA,56,1448
AK,WA,55,1448
AK,WA,52,1448
AK,WA,52,1448
AK,WA,48,1448
AK,WA,48,1448
AK,WA,48,1448
AK,WA,47,1448
AK,WA,46,1448
AK,WA,45,1448
AK,WA,44,1448
AK,WA,43,1448
AK,WA,43,1448
AK,WA,42,1448
AK,WA,42,1448
AK,WA,42,1448
AK,WA,41,1448
AK,WA,41,1448
AK,WA,40,1448
AK,WA,40,1448
AK,WA,40,1448
AK,WA,40,1448
AK,WA,39,1448
AK,WA,39,1448
AK,WA,38,1448
AK,WA,38,1448
AK,WA,38,1448
AK,WA,37,1448
AK,WA,37,1448
AK,WA,36,1448
AK,WA,36,1448
AK,WA,36,1448
AK,WA,36,1448
AK,WA,35,1448
AK,WA,35,1448
AK,WA,35,1448
AK,WA,34,1448
AK,WA,34,1448
AK,WA,34,1448
AK,WA,33,1448
AK,WA,33,1448
AK,WA,33,1448
AK,WA,33,1448
AK,WA,33,1448
AK,WA,32,1448
AK,WA,32,1448
AK,WA,32,1448
AK,WA,31,1448
AK,WA,31,1448
AK,WA,31,1448
AK,WA,30,1448
AK,WA,30,1448
AK,WA,30,1448
AK,WA,30,1448
AK,WA,30,1448
AK,WA,30,1448
AK,WA,30,1448
AK,WA,30,1448
AK,WA,30,1448
AK,WA,30,1448
AK,WA,30,1448
AK,WA,28,1448
AK,WA,28,1448
AK,WA,28,1448
AK,WA,28,1448
AK,WA,28,1448
AK,WA,27,1448
AK,WA,27,1448
AK,WA,27,1448
AK,WA,27,1448
AK,WA,26,1448
AK,WA,26,1448
AK,WA,26,1448
AK,WA,26,1448
AK,WA,26,1448
AK,WA,25,1448
AK,WA,25,1448
AK,WA,25,1448
AK,WA,25,1448
AK,WA,25,1448
AK,WA,25,1448
AK,WA,25,1448
AK,WA,25,1448
AK,WA,24,1448
AK,WA,24,1448
AK,WA,24,1448
AK,WA,24,1448
AK,WA,24,1448
AK,WA,23,1448
AK,WA,23,1448
AK,WA,23,1448
AK,WA,23,1448
AK,WA,23,1448
AK,WA,23,1448
AK,WA,23,1448
AK,WA,23,1448
AK,WA,23,1448
AK,WA,23,1448
AK,WA,23,1448
AK,WA,22,1448
AK,WA,22,1448
AK,WA,22,1448
AK,WA,22,1448
AK,WA,22,1448
AK,WA,22,1448
AK,WA,21,1448
AK,WA,21,1448
AK,WA,21,1448
AK,WA,21,1448
AK,WA,21,1448
AK,WA,20,1448
AK,WA,20,1448
AK,WA,20,1448
AK,WA,20,1448
AK,WA,20,1448
AK,WA,20,1448
AK,WA,20,1448
AK,WA,20,1448
AK,WA,19,1448
AK,WA,19,1448
AK,WA,19,1448
AK,WA,19,1448
AK,WA,19,1448
AK,WA,19,1448
AK,WA,19,1448
AK,WA,19,1448
AK,WA,19,1448
AK,WA,19,1448
AK,WA,19,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
